Country or region,Score,GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,Year
Paraguay,5.666600006103517,0.8552234634552003,1.3840329759368901,0.6430361386642456,0.5059695583515168,0.2331021315307618,0.08028918268775939,2017.0
Peru,5.728400030517578,0.96508705443573,1.105782076957702,0.7036552226753234,0.4449965757808686,0.11938194298076621,0.044171817308187485,2017.0
Philippines,5.387399965667724,0.791437843082428,1.154569514976502,0.5379018109321594,0.5920409348945619,0.1794326846408844,0.11033837860536574,2017.0
Poland,5.980800009918212,1.209037572555542,1.331608394065856,0.7668170695991516,0.5064924223175048,0.1390971933164596,0.05408556123876572,2017.0
Portugal,5.304600034332276,1.23203105897522,1.262012603668212,0.8695327083244324,0.5060850599212646,0.09024054250240326,0.01677189033734798,2017.0
Puerto Rico,7.039,1.35943,1.08113,0.77758,0.46823,0.22202,0.12275,2016.0
Qatar,6.4218,1.743691137207032,1.1697073759536738,0.7687316175575256,0.6040641966705322,0.2912167740077972,0.3559738511219024,2017.0
Romania,5.698399961853028,1.14176678226471,1.043000258094788,0.7362156624641418,0.4329607484912872,0.1141779835453034,0.004733580139786,2017.0
Russia,5.798599964141846,1.197139619430542,1.337812477737426,0.6263038667526246,0.3600786223144532,0.04572276448130608,0.030974576205730443,2017.0
Rwanda,3.4385999912261958,0.322057178647995,0.7884534046287536,0.41754296146202086,0.5816107705993652,0.22631120587348938,0.4734680027713776,2017.0
Saudi Arabia,6.37599997253418,1.439512711036682,1.18137951979065,0.6662136659469604,0.4174541144886016,0.12344920277690881,0.231550450958252,2017.0
